statecode,latitude,longitude
MO,37.49421,-94.316141
MO,39.686023,-91.626127
MO,38.671322,-93.250664
MO,36.795443,-91.896589
MS,34.912613,-88.499152
MS,33.39927,-91.044821
MS,34.828295,-89.566264
NC,36.067417,-79.313953
NC,35.452941,-79.137113
NC,34.253042,-77.956372
NC,35.70685,-77.913284
NE,40.922296,-98.346373
NJ,40.154096,-74.70104
NJ,40.893222,-74.301134
NJ,41.091748,-74.153958
NJ,40.002793,-75.037032
NM,35.183319,-107.899758
IN,41.693623,-86.641182
OH,40.75104,-81.405739
OH,40.822983,-83.991047
OH,41.030541,-81.890914
OH,41.614557,-84.554322
OK,36.534957,-97.339777
OK,35.422603,-99.275647
IN,40.120451,-87.451689
PA,39.999936,-78.23392
PA,39.897846,-77.206717
IN,40.373577,-86.77971
PA,40.275596,-76.998634
SC,34.19259,-80.686881
WY,39.614255,-119.263645
SC,35.151452,-81.859049
GA,34.003158,-85.025527
SC,34.25337,-79.758025
SC,35.026873,-82.032462
SC,34.025657,-81.220718
SC,33.488076,-81.926221
SC,34.913925,-82.109447
TN,36.339211,-82.802564
TN,35.018588,-85.290762
TN,35.170724,-90.054194
TX,35.187837,-102.011289
IN,39.529921,-85.742573
TX,33.19038,-102.27388
TX,28.668156,-99.183314
TX,35.847745,-101.972833
TX,27.883159,-98.618351
CO,39.292157,-102.875492
NY,42.554413,-79.140128
NY,42.554413,-79.140128
TN,35.77538,-88.431199
IA,41.596055,-93.639374
MT,39.687072,-111.834716
TX,35.187837,-102.011289
TX,32.353636,-102.557715
IN,41.58046,-87.249244
NM,35.468946,-108.413314
PA,40.15483,-80.130637
NY,42.58804,-76.13057
NY,42.58804,-76.13057
MS,31.126746,-88.851053
WA,48.099483,-122.18846
MD,39.277693,-76.549291
WV,39.035536,-80.468038
AL,33.335668,-86.790029
TX,33.188065,-97.821946
CO,39.784878,-104.906003
SC,33.416955,-80.66718
NM,32.296692,-106.810801
TX,29.309582,-98.615227
