OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price
70428,PARKERS #63 (DISCOUNT AVAILABLE),US-301,Jesup,GA,195,3.11566666
70434,HUCKS FOOD & FUEL #371,SR-148 & SR-142,Mount Vernon,IL,340,3.099
70436,CASEYS #3492,US-36,Marysville,KS,413,3.299
70437,Thorntons #155,"SR-1020 N, & SR1065 E",Louisville,KY,415,2.90566666
70441,BREAK TIME #3165,US-50 & SR-13,Warrensburg,MO,400,3.29233333
70450,QUEENSBURY,SR-149,Queensbury,NY,12,3.789
70452,LOVES TRAVEL STOP #749,SR-78,Westmorland,CA,900,4.849
70454,DANDY MINI MART #36,US-220,Monroeton,PA,200,4.03233333
70971,QUARLES #4932,"I-64, EXIT 173 & SR-623",Rockville,VA,180,3.699
71123,XPRESS FUEL DBA ONE9 #1264,"I-10, EXIT 203",Eloy,AZ,930,3.139
71216,Maverik Country Store #5337,"I-35, EXIT 102 & SR-210",Huxley,IA,320,3.09233333
71325,QUIKTRIP #7223,"I-20, EXIT 23 & SR-782-2",Bossier City,LA,745,2.89233333
71369,MR GAS TRAVEL CENTER #21,I-84 EXIT 59A,Boise,ID,785,3.69566666
72766,QUIKTRIP #1873,US 287  33.054731932354194,Rhome,TX,630,2.899
73030,SPEED TREK TRAVEL CENTER,I-90 EXIT 25,Belvidere,IL,520,3.899
73030,SPEED TREK TRAVEL CENTER,I-90 EXIT 25,Belvidere,IL,520,3.699
73030,SPEED TREK TRAVEL CENTER,I-90 EXIT 25,Belvidere,IL,520,3.799
