OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price
71221,LOVES TRAVEL STOP #786,I-435 EXIT 55,Kansas City,MO,400,3.389
71223,SCOOBA JUNCTION,US-45 & SR-16,Scooba                                  ,MS,705,3.21566666
71229,THE PRIDE OF PALATINE,"I-90, EXIT 65 & SR-62",Palatine,IL,290,3.399
71230,THE PRIDE OF LAKE COUNTY,US-12 & SR-53,Lake Zurich,IL,290,3.349
71232,GATEWAY TRAVEL CENTER,US-16 & US-85,Newcastle,WY,822,3.324
71240,LOVES TRAVEL STOP #764,I-24 EXIT 117 ,Hillsboro,TN,285,3.32566666
71241,WEIGLES #58,"I-40, Exit 356A & SR-58",Kingston                                ,TN,405,3.169
71242,LAST STOP TRAVEL CENTER,US-93,Willow Beach,AZ,910,3.49566666
71244,MAVERIK COUNTRY STORE #644,"I-84/I-15, EXIT 344 & SR-39",Ogden,UT,835,3.37233333
71245,MAVERIK COUNTRY STORE #651,"I-15, EXIT 67 & US-30",Pocatello,ID,825,3.40233333
71246,TOOT N TOTUM #99,I-40 EXIT 75,Amarillo,TX,585,3.04566666
71247,LOVES TRAVEL STOP #848,"I-59, Exit 104",Sandersville,MS,705,3.16233333
71248,RACETRAC #2560,"I-4, EXIT-55",Davenport,FL,140,3.289
71253,QUIKTRIP #4066,"I-35, EXIT 122 & SR-173",Devine,TX,740,2.96566666
71259,LOVES TRAVEL STOP #846,I-10 EXIT 10,Irvington,AL,715,3.16566666
71261,Una Travel Center,I-94 EXIT 228,Roseville,MI,325,3.899
71262,LOVES TRAVEL STOP #892,"I-70, EXIT 118 & SR-310",Etna,OH,315,3.46066666
71264,MAVERIK COUNTRY STORE #649,I-25/US-85 EXIT 220 & SR-500,Albuquerque,NM,580,3.20566666
71265,U SAVE FOOD STORES 1,SR-39/SR-55,Richwood,WV,44,3.599
71266,LOVES TRAVEL STOP #787,"I-81, EXIT 30 & SR-70 ",Mosheim,TN,405,3.55566666
71267,LOVES TRAVEL STOP #878,"US-131/SR-43, EXIT 44",Kalamazoo,MI,431,3.589
71268,MAVERIK COUNTRY STORE #650,SR 85 & W 900 S,West Jordan,UT,835,3.43233333
71270,QUIKTRIP #7904,I-20 EXIT 285 ,Abilene,TX,575,2.87566666
71275,ALLSUPS CONVENIENCE STORE #2272,US-67/US-84,Bangs,TX,575,2.93233333
71276,Circle K #2706617,I-4 EXIT 28,Lakeland,FL,225,3.25066666
71277,CIRCLE K #2706619,I-75 EXIT 354,Ocala,FL,140,3.45733333
71281,Pride (One9 Fuel Network) #1213,"I-40, Exit 25",Yucca,AZ,910,3.559
71281,Pride Travel Center dba One9 #1213,"I-40, Exit 25",Yucca,AZ,910,3.559
71282,QuikTrip #4128,SR-71,Bastrop,TX,595,2.96566666
71285,Shrees Truck Stop Seattle,SR-509,Seattle,WA,962,3.799
71287,RACETRAC #482,I-310 EXIT 2A,Saint Rose                              ,LA,725,3.12566666
71289,7-ELEVEN #38835,I-75 EXIT 139,Fort Myers,FL,225,3.599
71291,HUCKS FOOD & FUEL #351 DBA ONE9 #1286,"I-57, Exit 116",Salem                                   ,IL,574,3.139
71291,HUCKS FOOD & FUEL #351,"I-57, Exit 116",Salem                                   ,IL,574,3.139
71291,HUCKS FOOD & FUEL #351,"I-57, Exit 116",Salem                                   ,IL,574,3.099
71325,QUIKTRIP #7223,"I-20, EXIT 23 & SR-782-2",Bossier City,LA,745,2.89233333
71369,MR GAS TRAVEL CENTER #21,I-84 EXIT 59A,Boise,ID,785,3.69566666
72766,QUIKTRIP #1873,US 287  33.054731932354194,Rhome,TX,630,2.899
73030,SPEED TREK TRAVEL CENTER,I-90 EXIT 25,Belvidere,IL,520,3.899
73030,SPEED TREK TRAVEL CENTER,I-90 EXIT 25,Belvidere,IL,520,3.699
73030,SPEED TREK TRAVEL CENTER,I-90 EXIT 25,Belvidere,IL,520,3.799
