statecode,longitude,latitude
NJ,-74.15689,41.096196
NJ,-75.037032,40.002793
NM,-107.899763,35.183304
IN,0.0,0.0
OH,-81.405739,40.75104
OH,0.0,0.0
OH,0.0,0.0
OH,0.0,0.0
OK,0.0,0.0
OK,0.0,0.0
IN,-87.451689,40.120451
PA,0.0,0.0
PA,-77.206717,39.897846
IN,0.0,0.0
PA,0.0,0.0
SC,-80.686881,34.19259
WY,-119.263645,39.614255
SC,-81.859049,35.151452
GA,0.0,0.0
SC,-79.758025,34.25337
SC,-82.032462,35.026873
SC,-81.220718,34.025657
SC,-81.926221,33.488076
SC,-82.109447,34.913925
TN,0.0,0.0
TN,-85.290762,35.018588
TN,-90.054194,35.170724
TX,-102.011289,35.187837
IN,-85.742573,39.529921
TX,-102.27388,33.19038
TX,-99.183314,28.668156
TX,-101.972824,35.847659
TX,-98.618351,27.883159
CO,-102.875492,39.292157
NY,-79.140128,42.554413
NY,-79.140128,42.554413
TN,0.0,0.0
IA,-93.639374,41.596055
MT,0.0,0.0
TX,-102.011134,35.189218
TX,-102.557715,32.353636
IN,-87.249244,41.58046
NM,-108.413314,35.468946
PA,0.0,0.0
NY,-76.13057,42.58804
NY,-76.13057,42.58804
MS,-88.851053,31.126746
WA,-122.18846,48.099483
MD,0.0,0.0
WV,0.0,0.0
AL,0.0,0.0
TX,0.0,0.0
CO,-104.906003,39.784878
SC,0.0,0.0
NM,0.0,0.0
TX,-98.615226,29.309589
WI,-87.945335,42.870852
TX,-100.552635,32.430471
IN,-86.312298,41.36063
IN,-87.508041,41.62863
IL,-87.778003,41.80596
IL,-87.778003,41.80596
TX,0.0,0.0
LA,-92.363907,32.521714
NY,-74.360242,42.948884
NY,-74.360242,42.948884
MO,-71.549291,41.68635
NC,-78.556876,35.339808
TX,-101.723205,35.194274
AL,0.0,0.0
TX,0.0,0.0
KS,-100.940142,37.053912
TX,0.0,0.0
TX,0.0,0.0
MI,-85.204627,43.42972
MI,-85.204627,43.42972
MI,-85.204627,43.42972
TX,0.0,0.0
TX,-102.011289,35.187837
TX,-100.80315,36.37469
FL,-80.901229,27.69919
FL,-80.901229,27.69919
MS,-89.250907,31.187014
TX,-94.3587,32.4889
TX,0.0,0.0
MI,-85.674833,42.825656
TX,0.0,0.0
WV,0.0,0.0
KY,0.0,0.0
AZ,-111.63643,35.19404
MI,0.0,0.0
MI,0.0,0.0
MI,-86.349728,41.805316
MI,-86.349728,41.805316
TX,-96.535326,32.646602
MN,0.0,0.0
TX,-100.994443,31.836301
TX,-102.073967,36.332044
TX,0.0,0.0
TX,-98.143803,28.487003
TX,0.0,0.0
TX,0.0,0.0
UT,-113.163114,37.600565
UT,-110.185162,38.995129
UT,-111.498391,40.734404
UT,-111.853511,38.935507
KS,-97.340155,37.275786
UT,0.0,0.0
VA,-79.866131,37.280543
VA,-82.087069,36.652184
VA,-80.696142,37.077165
VA,-80.740024,36.579837
VA,-80.740024,36.579837
VA,-77.071472,38.33963
VA,-81.85774,36.75943
VA,-78.188872,38.142599
VA,-76.639052,36.721866
VA,-78.438642,38.966521
VA,-81.058021,36.958032
VT,0.0,0.0
KY,0.0,0.0
WA,0.0,0.0
WA,0.0,0.0
WA,-122.9051,46.3923
WI,-99.177957,33.79218
WI,0.0,0.0
WI,-87.648335,45.08577
WI,0.0,0.0
WI,0.0,0.0
WV,-79.632675,39.655994
WV,-82.351405,38.412931
WV,0.0,0.0
WY,0.0,0.0
WY,0.0,0.0
WY,0.0,0.0
WY,0.0,0.0
WY,-104.07678,41.177614
WY,-107.939872,41.691933
TX,-98.635881,29.677175
TX,0.0,0.0
TX,0.0,0.0
TX,-102.996151,31.560315
UT,-111.858845,41.734596
UT,0.0,0.0
UT,0.0,0.0
WI,0.0,0.0
WY,-104.905616,41.002331
MD,-77.372951,39.659612
MN,-94.44699,43.65333
MN,-94.13048,45.464763
VA,-79.2347,37.9297
WV,0.0,0.0
OH,-82.553129,38.996498
OH,-81.306926,41.10865
AL,-87.598318,34.087923
AR,0.0,0.0
GA,-83.478379,33.560769
GA,-83.478379,33.560769
GA,0.0,0.0
IL,-88.20637,41.781755
IL,-88.20637,41.781755
MO,-90.451009,38.605865
OH,-83.46042,41.559083
TN,-86.64821,36.52964
FL,-81.718792,27.915748
PA,0.0,0.0
SC,-81.008505,34.856708
TN,-85.290762,35.018588
TN,0.0,0.0
VA,-76.323553,36.855426
VA,-81.058021,36.958032
WI,-87.82661,32.50298
TX,-96.33223657496274,32.969465693458915
OH,-84.290958,39.542409
WI,0.0,0.0
WY,-107.25992,41.785713
NJ,-75.479296,39.681281
OR,-122.803413,45.239367
WY,0.0,0.0
IL,-89.348495,38.391439
IL,-89.348495,38.391439
CO,0.0,0.0
WV,0.0,0.0
KS,-96.860158,39.841203
OK,0.0,0.0
CO,-102.62027,38.095707
IN,0.0,0.0
IN,0.0,0.0
ID,-116.580485,43.590418
VT,-72.088556,44.15984
ID,-111.805,42.0169
TN,-86.770012,36.156978
NY,0.0,0.0
WA,0.0,0.0
AZ,-112.783864,33.458379
AZ,-114.62425,32.71502
LA,-91.201234,32.387587
MO,0.0,0.0
CO,0.0,0.0
FL,0.0,0.0
FL,0.0,0.0
GA,0.0,0.0
AL,0.0,0.0
NV,-114.955526,41.100896
OH,-81.48138,40.491684
ID,-117.006012,46.42691
WY,-109.4785,41.53635
ND,0.0,0.0
TN,-83.440066,36.038488
ID,0.0,0.0
VA,-79.186603,37.230258
NM,-106.649289,35.107297
VA,-77.466309,37.937683
VA,-77.466309,37.937683
TX,0.0,0.0
PA,-76.727897,40.354117
ND,-99.889063,46.866366
FL,-81.836487,30.247514
KY,-84.625916,38.857848
NC,-80.895659,35.146682
ND,-98.710859,46.898111
OH,-83.467401,41.537809
LA,-91.98965,32.493317
SD,-101.52328,43.83756
AL,0.0,0.0
LA,0.0,0.0
FL,-82.96732,30.32655
PA,-78.233241,40.001635
MO,0.0,0.0
CO,-102.63064,38.116838
VA,-79.1198740247637,37.44737399742007
WI,-89.638053,45.129173
AL,0.0,0.0
NY,-73.451074,45.008805
GA,-84.06077,33.207243
CO,-108.56684,39.06404
OK,0.0,0.0
MO,-94.317048,36.875674
AL,0.0,0.0
OK,-96.075815,36.05199
OK,-96.075815,36.05199
OK,-97.436685,35.594066
AL,-87.152664,33.819788
TN,-85.502601,36.135798
IN,0.0,0.0
WA,-122.216525,47.479439
IN,-87.249244,41.58046
TN,0.0,0.0
SD,0.0,0.0
MN,-95.574601,46.581487
FL,-81.82397,28.18251
KY,-87.454956,36.702929
AR,0.0,0.0
AR,0.0,0.0
FL,-80.136259,26.235371
PA,-76.727897,40.354117
SC,-80.142278,33.03878
SC,-80.142278,33.03878
TX,-98.139949,27.225753
AR,0.0,0.0
WY,0.0,0.0
PA,-76.788099,41.020208
MO,0.0,0.0
WY,-104.661013,41.15825
AR,0.0,0.0
NY,-76.128736,43.310576
NH,-70.818453,43.04278
MS,-88.637829,32.38323
OK,-97.428841,35.593936
CO,0.0,0.0
SC,-80.994609,34.512346
LA,-92.652685,31.955859
GA,0.0,0.0
WV,-80.387792,39.103608
WA,-122.31454,47.304795
TX,-97.96658900566399,29.5988239813596
IN,-84.836208,42.560398
IN,-87.122967,40.766561
IN,-87.122967,40.766561
TX,-97.680655,30.649697
FL,0.0,0.0
IA,-94.23539,43.083682
ID,-116.301584,43.597409
GA,-81.096297,32.096475
GA,-81.096297,32.096475
NC,-80.561166,35.497848
VT,-72.492437,43.302428
GA,0.0,0.0
GA,-84.819027,34.206522
TX,-93.820056,30.116198
TX,0.0,0.0
OH,-84.152992,40.395637
IA,-94.862747,42.064162
TX,-101.7528,35.192479
TX,-97.952011,29.601786
MN,-93.029057,44.877047
WY,-107.084078,41.773439
NV,-118.479405,40.172171
TX,0.0,0.0
WY,-110.184455,41.392008
UT,-112.82727,37.84206
MO,-94.829546,39.776814
IL,-88.259484,39.791178
IN,0.0,0.0
IN,0.0,0.0
OH,-83.508404,41.724043
IN,-87.126249,39.449205
OH,0.0,0.0
PA,-77.9353,41.0281
TX,-98.07785,27.726404
MI,-82.820414,42.67436
MI,-82.820414,42.67436
NC,-80.895659,35.146682
IN,-85.437789,40.722105
NY,0.0,0.0
MN,-93.348131,43.685517
SD,-99.276804,43.75804
PA,-75.9142,41.552
PA,0.0,0.0
NY,-73.755518,42.63478
AR,0.0,0.0
MT,-111.873255,48.513645
AR,-91.28026,35.65218
VA,-77.553854,36.664569
CO,0.0,0.0
CO,0.0,0.0
CO,0.0,0.0
CO,-105.109331,39.634651
MN,-101.622948,43.835975
CO,-104.820428,39.021515
OK,-97.329601,36.275626
DE,-75.586305,38.801988
DE,-75.586305,38.801988
MT,0.0,0.0
FL,-82.474854,27.493179
NJ,-74.00404,40.845921
FL,-80.433358,26.062673
FL,0.0,0.0
TN,0.0,0.0
MO,-92.42744,39.442738
FL,0.0,0.0
FL,0.0,0.0
MI,-85.785191,42.223078
MI,-85.785191,42.223078
TX,-96.55035087838769,32.86018038634211
OK,-97.436682,35.594099
OK,-99.372382,35.423008
FL,-82.121814,30.256
IN,-87.318524,41.56743
AR,-92.665329,33.226793
WI,0.0,0.0
SC,-82.5994,34.6298
AR,-93.092783,35.280653
AR,-93.092783,35.280653
VA,-79.878168,37.045065
MS,-89.340347,31.350421
FL,-80.145921,25.772155
FL,-80.480685,25.760331
OK,-96.373332,33.997763
OK,0.0,0.0
GA,-84.297218,33.85452
GA,-82.85025,31.46694
TX,-98.37867,29.436266
GA,0.0,0.0
GA,-84.362309,46.470648
AZ,-114.069189,35.189995
MN,-94.916693,47.496684
ID,-116.996834,47.71131
GA,0.0,0.0
GA,-84.946624,34.576835
TX,-97.044999,32.678213
KS,0.0,0.0
GA,-85.54144,34.77058
GA,-85.54144,34.77058
NV,-111.837267,39.68592
IN,0.0,0.0
TN,-87.035227,36.395696
NY,-78.407836,43.004319
NY,-78.407836,43.004319
NY,-78.407836,43.004319
NY,-78.407836,43.004319
OK,-97.688507,35.457897
LA,-93.737695,32.512892
KY,-111.145473,40.794102
GA,-84.339573,33.66813
PA,-76.014402,39.977743
IA,0.0,0.0
ND,-102.738956,46.885759
AL,-86.353646,32.264049
IA,0.0,0.0
IL,-88.001132,40.751103
IL,-88.001132,40.751103
IL,-88.001132,40.751103
IL,-88.001132,40.751103
IA,-90.783241,42.441295
TX,0.0,0.0
IA,-84.21434,33.71134
GA,-81.324312,31.907209
MO,-93.570067,37.188088
GA,0.0,0.0
IA,0.0,0.0
IA,-95.977061,41.611571
MO,-89.5293,36.8932
NM,-106.065207,35.009616
MO,-94.012601,40.265164
IA,0.0,0.0
IA,-92.58151402696967,42.0575359929353
IA,0.0,0.0
TN,-82.831962,36.320507
NC,0.0,0.0
MN,0.0,0.0
TX,-102.011289,35.187837
SD,-96.763332,43.978609
IA,-92.338157,42.542637
